_id,product,user,rating,comment,createdAt
696559ca7f0f6a716067ba54,696559c97f0f6a716067ba1c,696559c97f0f6a716067ba2c,4,"Excellent produit, je recommande !",2026-01-12T20:30:02.359Z
696559ca7f0f6a716067ba57,696559c97f0f6a716067ba1d,696559c97f0f6a716067ba2e,5,Très satisfait de mon achat,2026-01-12T20:30:02.363Z
696559ca7f0f6a716067ba5a,696559c97f0f6a716067ba1e,696559c97f0f6a716067ba30,5,Bon rapport qualité-prix,2026-01-12T20:30:02.365Z
696559ca7f0f6a716067ba5d,696559c97f0f6a716067ba1f,696559c97f0f6a716067ba32,5,Produit conforme à mes attentes,2026-01-12T20:30:02.367Z
696559ca7f0f6a716067ba60,696559c97f0f6a716067ba20,696559ca7f0f6a716067ba34,4,Je rachèterai certainement,2026-01-12T20:30:02.369Z
696559ca7f0f6a716067ba63,696559c97f0f6a716067ba21,696559ca7f0f6a716067ba36,4,Efficace et agréable à utiliser,2026-01-12T20:30:02.370Z
696559ca7f0f6a716067ba66,696559c97f0f6a716067ba22,696559ca7f0f6a716067ba38,4,Un peu cher mais de qualité,2026-01-12T20:30:02.372Z
696559ca7f0f6a716067ba69,696559c97f0f6a716067ba23,696559ca7f0f6a716067ba3a,5,Résultats visibles rapidement,2026-01-12T20:30:02.375Z
696559ca7f0f6a716067ba6c,696559c97f0f6a716067ba24,696559c97f0f6a716067ba2c,4,"Excellent produit, je recommande !",2026-01-12T20:30:02.377Z
696559ca7f0f6a716067ba6f,696559c97f0f6a716067ba25,696559c97f0f6a716067ba2e,5,Très satisfait de mon achat,2026-01-12T20:30:02.379Z
696559ca7f0f6a716067ba72,696559c97f0f6a716067ba26,696559c97f0f6a716067ba30,3,Bon rapport qualité-prix,2026-01-12T20:30:02.381Z
696559ca7f0f6a716067ba75,696559c97f0f6a716067ba27,696559c97f0f6a716067ba32,3,Produit conforme à mes attentes,2026-01-12T20:30:02.383Z
696559ca7f0f6a716067ba78,696559c97f0f6a716067ba28,696559ca7f0f6a716067ba34,4,Je rachèterai certainement,2026-01-12T20:30:02.384Z
696559ca7f0f6a716067ba7b,696559c97f0f6a716067ba29,696559ca7f0f6a716067ba36,3,Efficace et agréable à utiliser,2026-01-12T20:30:02.386Z
696559ca7f0f6a716067ba7e,696559c97f0f6a716067ba2a,696559ca7f0f6a716067ba38,4,Un peu cher mais de qualité,2026-01-12T20:30:02.387Z
696559ca7f0f6a716067ba81,696559c97f0f6a716067ba1c,696559ca7f0f6a716067ba3a,5,Résultats visibles rapidement,2026-01-12T20:30:02.389Z
696559ca7f0f6a716067ba84,696559c97f0f6a716067ba1d,696559c97f0f6a716067ba2c,3,"Excellent produit, je recommande !",2026-01-12T20:30:02.391Z
696559ca7f0f6a716067ba87,696559c97f0f6a716067ba1e,696559c97f0f6a716067ba2e,3,Très satisfait de mon achat,2026-01-12T20:30:02.392Z
696559ca7f0f6a716067ba8a,696559c97f0f6a716067ba1f,696559c97f0f6a716067ba30,3,Bon rapport qualité-prix,2026-01-12T20:30:02.394Z
696559ca7f0f6a716067ba8d,696559c97f0f6a716067ba20,696559c97f0f6a716067ba32,4,Produit conforme à mes attentes,2026-01-12T20:30:02.395Z
